variant,variant_name,pattern,target_rps,zt_ac4a,zt_sr,zt_mtls,zt_ra,zt_ra_ms,zt_broker_mtls,s1_p50,s1_p75,s1_p90,s1_p95,s1_p99,s1_p999,s1_mean,s1_throughput,s1_failure_rate,s1_count,s2_p50,s2_p75,s2_p90,s2_p95,s2_p99,s2_p999,s2_mean,s2_throughput,s2_failure_rate,s2_count,span_ra_ms_exercise_p50,span_ra_ms_exercise_p75,span_ra_ms_exercise_p95,span_ra_ms_exercise_p99,span_ra_ms_exercise_mean,span_ra_ms_exercise_count,span_ra_ms_other_p50,span_ra_ms_other_p75,span_ra_ms_other_p95,span_ra_ms_other_p99,span_ra_ms_other_mean,span_ra_ms_other_count,span_vault_load_p50,span_vault_load_p75,span_vault_load_p95,span_vault_load_p99,span_vault_load_mean,span_vault_load_count,span_mtls_handshake_p50,span_mtls_handshake_p75,span_mtls_handshake_p95,span_mtls_handshake_p99,span_mtls_handshake_mean,span_mtls_handshake_count,span_risk_analysis_p50,span_risk_analysis_p75,span_risk_analysis_p95,span_risk_analysis_p99,span_risk_analysis_mean,span_risk_analysis_count,span_gateway_auth_p50,span_gateway_auth_p75,span_gateway_auth_p95,span_gateway_auth_p99,span_gateway_auth_mean,span_gateway_auth_count,span_ac4a_verify_p50,span_ac4a_verify_p75,span_ac4a_verify_p95,span_ac4a_verify_p99,span_ac4a_verify_mean,span_ac4a_verify_count,res_ra_cpu,res_other_cpu,res_exercise_cpu,res_exercise_mem_mb,res_gateway_cpu,res_gateway_mem_mb,res_other_mem_mb
1,v1-baseline,http,30,false,false,false,false,false,false,17.0,31.0,51.0,67.0,100.0,179.0,24.198032407407407,101.73299328138357,0.0,129600,6.0,13.0,21.0,28.0,43.0,66.58400000000256,9.341157092855672,16.737944510112726,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,64.31603476561396,14.376136148987172,58.97634702222222,45.610162707194895,39.570090666666665,79.12683630107527
1,v1-baseline,queue,30,false,false,false,false,false,false,17.0,31.0,52.0,69.0,103.0,174.6020000000135,24.425324074074073,102.01503304862008,0.0,129600,6.0,13.0,21.0,28.0,45.0,72.59200000000419,9.376981675931646,16.780216135540755,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,61.54642264536363,14.220006379975723,74.92055260215054,42.4286289058955,77.67253608602151,93.79218993548386
2,v2-ac4a,http,30,true,false,false,false,false,false,19.0,33.0,51.0,66.0,106.0,193.80100000000675,26.107314814814814,101.90241428520882,0.0,129600,9.0,16.0,26.0,32.0,54.4399999999996,109.57600000000093,11.970557957586989,16.665408554703852,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,60.210666258714866,13.325303606478647,77.82122382222222,56.22960633888355,53.528906322580646,73.48224
2,v2-ac4a,queue,30,true,false,false,false,false,false,20.0,34.0,55.0,73.0,126.0,247.80100000000675,28.215138888888887,102.00274840738766,0.0,129600,10.0,17.0,28.0,37.0,72.4399999999996,143.57600000000093,13.175416924027177,16.569383654407076,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,59.01592709133117,12.698097380448667,74.45571578494624,54.01243824130245,76.01951931182795,109.75092301075269
3,v3-sr,http,30,false,true,false,false,false,false,17.0,30.0,50.0,66.0,99.0,167.80100000000675,23.76613425925926,101.8685329988021,0.0,129600,6.0,13.0,21.0,27.0,42.0,76.0,9.150298538192299,16.62917655275835,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,61.05107199609491,14.207991148137701,75.84290133333333,41.55319343233693,63.372202666666674,108.42184533333334
3,v3-sr,queue,30,false,true,false,false,false,false,17.0,31.0,51.0,69.0,103.0,190.6020000000135,24.436782407407406,101.82387298414659,0.0,129600,6.0,13.0,21.0,29.0,44.0,76.4320000000007,9.374511015029853,16.489112500763856,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,60.459737674726235,13.731136740625209,56.87266270967742,42.07503801796796,71.04206038709677,106.248192
4,v4-mtls,http,30,false,false,true,false,false,false,3315.0,3597.0,6853.5999999999985,9191.799999999996,23220.600000000035,42334.53000000199,3765.8379617306955,62.045503338709764,19.123515496188677,125206,3366.0,5038.5,8365.200000000003,11841.099999999997,32473.350000000057,52528.37200000168,4897.882213672684,10.581814818240682,24.45785826067516,13469,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,42.338495242135615,8.079446032116017,69.53488556851589,77.85508934093936,235.03672346704602,130.98332519298245
4,v4-mtls,queue,30,false,false,true,false,false,false,3360.0,3845.75,7071.0,9229.599999999991,23048.18,41735.930000001405,3869.4320323423917,60.12588823581015,21.419109323442278,124552,3441.0,5186.0,8268.0,12015.25,29274.200000000063,42308.38000000013,4877.6712492528395,10.098617362141406,25.91676040494938,13304,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,39.58717796897801,7.678829296010167,68.74694063157895,73.62772186454144,247.16848505263158,104.464384
5,v5-ra,http,30,false,false,false,true,false,false,23.0,39.0,63.0,84.0,161.0,321.80100000000675,32.31692129629629,101.89448260246056,0.0,129600,11.0,19.0,31.0,42.0,87.8799999999992,227.4320000000007,15.058472308009058,16.555038601155477,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,19.14284687001229,63.625664272665794,13.761876678701313,74.55540576344087,56.63249217998413,74.03054933333334,113.10565849462365
5,v5-ra,queue,30,false,false,false,true,false,false,24.0,41.0,68.0,91.0,177.01000000000204,346.80100000000675,34.19770833333333,101.8277131664176,0.0,129600,11.0,20.0,34.0,47.19999999999982,99.0,203.36000000001513,16.38521721227095,16.772451326394595,0.0,14571,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,17.62580443875201,62.38955346580442,13.608919310148769,72.5501343655914,56.969122996258115,90.6793249032258,93.20826769892473
